username status
wbfcjd 1
hnhztj 1
dlygpl 0
ozvqex 1
aizewm 0
xmjhhc 0
ylalwn 1
tbowtt 0
xvabiz 0
gthest 0
shspcr 0
xgftlr 1
tuldkc 1
mzuyyd 0
gusefo 0
bbgoal 0
mxkhxd 0
opocfz 0
njrjzn 0
uzmaaf 0
ellrak 1
nuaybk 1
tmmoax 0
mjnjbf 0
epnpag 0
fbwtmh 1
idagmn 0
hlesfx 0
cfwykn 0
fdwted 1
sgzzgm 1
qxxwzb 1
dfhvfy 1
gbdzat 1
virjhi 1
wwrthw 1
ydalay 1
zeivuo 0
pitjae 0
xllmzk 1
ucottc 1
oamgyf 1
xsgwun 1
ljdpsv 0
lgnibc 0
niyiwo 0
ynugeq 0
sfelps 1
munzyq 0
notskx 1
kezlfj 0
ehsdqr 0
fpdvsw 1
csudfy 1
qfhauo 0
rvyatm 0
djjbgp 1
vuowdx 1
zaatrz 0
tdjyhb 1
horyon 0
nonblg 0
lwnnvd 1
atvkex 1
oiacef 0
kzmvsz 1
elhpvu 0
wvokbw 0
ftnnds 0
tygmau 0
ajssym 0
krtvmw 1
yikpfy 1
mebzaw 0
pbyyja 0
sqrgyc 0
beomhb 1
nhzcvf 1
tyjacv 1
odjaky 1
astpph 1
pqgomw 1
kmkwxn 1
gtaqde 1
uyolrs 0
uklvzs 1
npknag 1
qhihjl 0
ghqszp 1
wiurkh 0
gjvrwg 1
clullh 1
iscoah 1
ehdnej 1
yolksy 1
zpiexe 1
rahbgo 1
axbmbn 1
yyyzzm 1
lskqms 0
tungbt 1
khanhspm 0
